"Name","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"TID_SEASONAL_ARENA_5","Seasonal Arena 5","Arène saisonnière 5","Saisonale Arena 5","Arena de temporada 5","Arena stagionale 5","Seizoensarena 5","Sesongarena 5","Sezon Arenası 5","シーズンアリーナ5","시즌 아레나 5","Сезонная арена 5","الساحة الموسمية 5","Arena sazonal 5","5阶赛季竞技场","5階賽季競技場","میدان نبرد فصلی 5","Arena Musiman 5","Arena Bermusim 5","สนามประลองประจำฤดูกาล 5","Kausittainen areena 5","Đấu trường theo mùa 5"
"TID_CLAN_RUSH","Clan Voyage","Odyssée de clan","Clanreise","El viaje del clan","Il viaggio del clan","Clantocht","Klanreise","Klan Yolculuğu","クラン航海","클랜 항해","Путешествие клана","رحلة القبيلة البحرية","Viagem de Clãs","部落远航","部落遠航","سفر طولانی قبیله","Ekspedisi Klan","Pelayaran Klan","การเดินทางของแคลน","Klaanin matka","Hành trình của Hội"
"TID_CLAN_RUSH_REWARDS_COLLECTED","All rewards collected","Toutes les récompenses ont été récupérées","Alle Belohnungen abgeholt","Todas las recompensas recogidas","Tutte le ricompense sono state ottenute.","Alle beloningen verzameld","Alle belønninger samlet","Tüm ödüller alındı","すべての報酬を獲得しました","모든 보상을 모았습니다.","Все награды собраны","كل الجوائز المجمّعة","Todas as recompensas foram coletadas.","已收集所有奖励","已收集所有獎勵","همه جوایز جمع‌آوری شده","Semua hadiah diklaim","Semua ganjaran telah dikumpul","เก็บรางวัลทั้งหมดแล้ว","Kaikki palkinnot kerätty!","Đã thu thập tất cả phần thưởng."
"TID_DIVIDER_RANKED_MODE_UNLOCK_1","Ranked mode unlocked this Season","Mode Classé débloqué cette saison","Ranglistenmodus dieser Saison freigeschaltet","Modo competitivo desbloqueado esta temporada","Modalità Classificata sbloccata questa stagione","Divisiemodus dit seizoen ontgrendeld","Rangert modus låses opp denne sesongen","Sıralamalı mod bu sezon açılıyor","ランクモードは今シーズン開放","이 시즌에서 잠금 해제된 경쟁전 모드","Рейтинговый режим этого сезона","فتح وضع المصنف هذا الموسم","Modo ranqueado desbloqueado nesta temporada","本赛季解锁的天梯模式","本次賽季解鎖的天梯模式","حالت رتبه‌بندی‌شده تو این فصل باز شد","Mode Peringkat terbuka Musim ini","Mod Berperingkat dibuka musim ini","โหมดจัดอันดับที่ปลดล็อคในฤดูกาลนี้","Sijoitustilan avaus tälle kaudelle","Chế độ Xếp hạng được mở khóa trong Mùa giải này."
"TID_DIVIDER_RANKED_MODE_UNLOCK_2","Ranked mode unlocked next Season","Mode Classé débloqué à la prochaine saison","Ranglistenmodus der nächsten Saison freigeschaltet","Modo competitivo desbloqueado la próxima temporada","Modalità Classificata sbloccata la pross. stagione","Divisiemodus volgend seizoen ontgrendeld","Rangert modus låses opp neste sesong","Sıralamalı mod gelecek sezon açılıyor","ランクモードは来シーズン開放","다음 시즌에서 잠금 해제되는 경쟁전 모드","Рейтинговый режим следующего сезона","فتح وضع المصنف في الموسم التالي","Modo ranqueado desbloqueado na próxima temporada","下个赛季解锁的天梯模式","下個賽季解鎖的天梯模式","حالت رتبه‌بندی‌شده تو فصل بعدی باز می‌شه","Mode Peringkat terbuka Musim berikutnya","Mod Berperingkat dibuka musim berikut","โหมดจัดอันดับที่ปลดล็อคในฤดูกาลหน้า","Sijoitustilan avaus ensi kaudelle","Chế độ Xếp hạng sẽ được mở khóa trong Mùa giải tiếp theo."
"TID_CLAN_RUSH_PROGRESS_ENDED","The event is over, but you can still collect rewards you've unlocked","L'événement est terminé, mais il vous reste des récompenses à débloquer","Das Ereignis ist vorbei, aber du kannst immer noch freigeschaltete Belohnungen abholen.","El evento ha terminado, pero aún puedes recoger las recompensas que hayas desbloqueado.","L'evento è finito, ma puoi ancora ritirare le ricompense che hai sbloccato.","Het evenement is voorbij, maar je kunt de beloningen die je ontgrendeld hebt nog verzamelen.","Hendelsen er over, men du kan fortsatt samle belønningene du har låst opp","Etkinlik bitti ama açtığın ödülleri hala alabilirsin.","イベントは終了しましたが、アンロックした報酬は引き続き回収できます","잠금 해제한 보상은 이벤트 종료 후에도 수령할 수 있습니다.","Событие закончилось, но ты все еще можешь собрать разблокированные награды.","انتهى الحدث، لكن لا يزال بإمكانك جمع الجوائز التي فتحتها.","O evento terminou, mas você ainda pode coletar as recompensas liberadas.","活动已结束，但您仍可收集已解锁的奖励","活動已結束，但你仍可收集已解鎖的獎勵","رویداد تموم شده، اما هنوز می‌تونی جوایزی رو که باز کردی جمع‌آوری کنی","Acara memang sudah berakhir, tetapi kamu masih bisa mengklaim hadiah yang telah dibuka.","Acara telah tamat, tetapi anda masih boleh kumpul ganjaran yang telah dibuka","อีเวนท์จบลงแล้ว แต่ท่านยังสามารถเก็บรางวัลที่ท่านปลดล็อคแล้วได้","Tapahtuma on päättynyt, mutta voit silti kerätä avaamasi palkinnot.","Sự kiện đã kết thúc nhưng bạn vẫn có thể thu thập những phần thưởng mà bạn đã mở khóa."
"TID_RULER_SKIN_MERGEMAIDEN_T3_RED","Inferno Empress","Impératrice infernale","Infernokaiserin","Emperatriz infernal","Imperatrice infernale","Infernokeizerin","Infernokeiserinne","Cehennem İmparatoriçesi","インフェルノエンプレス","인페르노 엠프레스","Инфернальная императрица","الإمبراطورة النارية","Imperatriz Infernal","地狱女王","地獄女王","شهبانوی جهنمی","Maharani Inferno","Maharani Neraka","จักรพรรดินีเพลิงนรก","Inferno-keisarinna","Nữ vương địa ngục"
"TID_RULER_SKIN_MERGEMAIDEN_T3_RED_DESC","The all-seeing Empress","L'Impératrice omnisciente.","Die allsehende Kaiserin.","La emperatriz que todo lo ve.","L'imperatrice che vede tutto.","De alziende keizerin.","Den altseende keiserinnen.","İmparatoriçe her şeyi görür.","万物を見通す女帝です。","모든 것을 꿰뚫어보는 여제입니다.","Всеведущая императрица.","الإمبراطورة صاحبة البصيرة.","A imperatriz que tudo vê.","全知女王。","全知女王。","شهبانوی همه‌چیزدان.","Maharani mengetahui segala yang terjadi di negeri ini.","Maharani yang berpengetahuan.","นี่คือจักรพรรดินีที่รู้และเห็นทุกสิ่งทุกอย่าง","Kaiken näkevä keisarinna.","Một Nữ vương toàn năng."
"TID_BADGE_NAME_SEASONAL_202507","July Badge","Badge de juillet","Juliabzeichen","Insignia de julio","Emblema di luglio","Badge van juli","Julimerke","Temmuz Rozeti","7月のバッジ","7월 배지","Июльский значок","شارة يوليو","Emblema de julho","七月勋章","七月徽章","نشان ژوئیه","Lencana Juli","Lencana Julai","ตราสัญลักษณ์กรกฎาคม","Heinäkuun vaakuna","Huy hiệu tháng 7"
"TID_BADGE_NAME_SEASONAL_202507_1","July Trailblazer","Pionnier de juillet","Juli-Wegbereiter","Vanguardista de julio","Apripista di luglio","Pionier van juli","Pioneren i juli","Temmuz Öncüsü","7月の先駆者","7월 선구자","Июльский первопроходец","رائد يوليو","Desbravador de julho","七月先驱者","七月先驅者","پیشگام ژوئیه","Pelopor Juli","Pelopor Julai","ผู้บุกเบิกเดือนกรกฎาคม","Heinäkuun pioneeri","Người tiên phong tháng 7"
"TID_BADGE_NAME_SEASONAL_202507_2","July Conqueror","Conquérant de juillet","Juli-Eroberer","Mandamás de julio","Conquistatutto di luglio","Veroveraar van juli","Erobreren i juli","Temmuz Fatihi","7月の征服者","7월 정복자","Июльский завоеватель","منتصر يوليو","Conquistador de julho","七月征服者","七月征服者","فاتح ژوئیه","Penakluk Juli","Penakluk Julai","ผู้พิชิตเดือนกรกฎาคม","Heinäkuun valloittaja","Kẻ chinh phục tháng 7"
"TID_BADGE_NAME_SEASONAL_202507_3","July Ultimate Champion","Champion suprême de juillet","Ultimativer Champion im Juli","Campeón definitivo de julio","Campione definitivo di luglio","Aristocratische kampioen van juli","Mesternes mester for juli","Temmuz Nihai Şampiyonu","7月に天界到達","7월 얼티밋 챔피언","Абсолютный чемпион июля","البطل المُطلق ليوليو","Maior campeão de julho","七月终极冠军联赛","七月終極冠軍聯盟賽","قهرمانی نهایی ژوئیه","Juara Utama Juli","Juara Mutlak Julai","อัลติเมทแชมเปียนกรกฎาคม","Heinäkuun mestareiden mestari","Quán quân tối thượng tháng 7"
"TID_BADGE_NAME_SEASONAL_202508","August Badge","Badge d'août","Augustabzeichen","Insignia de agosto","Emblema di agosto","Badge van augustus","Augustmerke","Ağustos Rozeti","8月のバッジ","8월 배지","Августовский значок","شارة أغسطس","Emblema de agosto","八月勋章","八月徽章","نشان ماه اوت","Lencana Agustus","Lencana Ogos","ตราสัญลักษณ์สิงหาคม","Elokuun vaakuna","Huy hiệu tháng 8"
"TID_BADGE_INFO_SEASONAL_UNEARNED_202508","Earn by playing August Arenas or Ranked","À gagner en jouant dans les arènes d'août ou en Classé","Spiele Arenen im August oder den Ranglistenmodus, um dies zu verdienen.","Se obtiene jugando en las arenas de agosto o en el modo competitivo.","Si ottiene giocando nelle arene di agosto o nella modalità Classificata in quel mese.","Te verdienen door in arena's of de divisiemodus te spelen in augustus.","Tjen på å spille augustarenaer eller Rangert","Ağustos arenalarını veya aşamalı modu oynayarak kazanabilirsin.","8月のアリーナまたはランク戦をプレイして獲得できます","8월 아레나 또는 경쟁전을 플레이하여 획득하세요.","Зарабатывай на августовских аренах или в ранговом режиме","اربح بلعب ساحات أغسطس أو المصنف","Participe das arenas de agosto ou do modo ranqueado para ganhar.","通过参加8月竞技场或天梯对战获取","透過參加8月競技場或天梯對戰獲取","با بازی کردن تو میدان‌های نبرد یا حالت رتبه‌بندی‌شده ماه اوت، به‌دستش بیار","Raih dengan bermain di Arena Agustus atau mode Peringkat.","Dapatkan dengan bermain di Arena Ogos atau mod Berperingkat","รับโดยเล่นในสนามประลองเดือนสิงหาคมหรือโหมดจัดอันดับ","Ansaitse pelaamalla elokuun areenoita tai sijoitusotteluita.","Thu thập bằng cách chơi Đấu trường tháng 8 hoặc chế độ Xếp hạng."
"TID_BADGE_NAME_SEASONAL_202508_1","August Trailblazer","Pionnier d'août","August-Wegbereiter","Vanguardista de agosto","Apripista di agosto","Pionier van augustus","Pioneren i august","Ağustos Öncüsü","8月の先駆者","8월 선구자","Августовский первопроходец","رائد أغسطس","Desbravador de agosto","八月先驱者","八月先驅者","پیشگام ماه اوت","Pelopor Agustus","Pelopor Ogos","ผู้บุกเบิกเดือนสิงหาคม","Elokuun pioneeri","Người tiên phong tháng 8"
"TID_BADGE_NAME_SEASONAL_202508_2","August Conqueror","Conquérant d'août","August-Eroberer","Mandamás de agosto","Conquistatutto di agosto","Veroveraar van augustus","Erobreren i august","Ağustos Fatihi","8月の征服者","8월 정복자","Августовский завоеватель","منتصر أغسطس","Conquistador de agosto","八月征服者","八月征服者","فاتح ماه اوت","Penakluk Agustus","Penakluk Ogos","ผู้พิชิตเดือนสิงหาคม","Elokuun valloittaja","Kẻ chinh phục tháng 8"
"TID_BADGE_NAME_SEASONAL_202508_3","August Ultimate Champion","Champion suprême d'août","Ultimativer Champion im August","Campeón definitivo de agosto","Campione definitivo di agosto","Aristocratische kampioen van augustus","Mesternes mester for august","Ağustos Nihai Şampiyonu","8月に天界到達","8월 얼티밋 챔피언","Абсолютный чемпион августа","البطل المُطلق لأغسطس","Maior campeão de agosto","八月终极冠军联赛","八月終極冠軍聯盟賽","قهرمانی نهایی اوت","Juara Utama Agustus","Juara Mutlak Ogos","อัลติเมทแชมเปียนสิงหาคม","Elokuun mestareiden mestari","Quán quân tối thượng tháng 8"
"TID_CROWNS_EARNED_FROM_AUTO_CHESS_BATTLE","Crowns from Battles: <num>","Couronne(s) des combats : <num>","Kronen aus Kämpfen: <num>","Coronas obtenidas en batalla: <num>","Corone ottenute in battaglia: <num>","Kronen van gevechten: <num>","Kroner fra kamper: <num>","Savaşlardan kazanılan taç: <num>","獲得したクラウン：<num>","전투에서 얻은 크라운: <num>개","Короны за бои: <num>","التيجان من المعارك: <num>","Coroas nas batalhas: <num>","通过对战获得的皇冠：<num>","透過對戰獲得的皇冠：<num>","تاج‌های نبردها: <num>","Mahkota dari Pertempuran: <num>","Mahkota daripada Pertempuran: <num>","มงกุฎจากการต่อสู้: <num>","Kruunuja taisteluista: <num>","Vương miện từ các Trận chiến: <num>"
"TID_SPELL_VINES","Vines","Ronces","Ranken","Enredadera","T'acchiappo","Onkruid","Ranker","Sarmaşık","ヴァイン","덩굴 마법","Лоза","اللبلاب","Vinhas","藤蔓法术","藤蔓法術","تاک‌ها","Tanaman Merambat","Penjalar","เถาวัลย์","Köynnökset","Dây leo"
"TID_SPELL_INFO_VINES","Entangle the three highest hitpoint troops or buildings in the area, stunning them while doing damage. If the troop is in the air, they'll ground them. \n\nDon't worry, they'll grow on you!","Envahissez le champ de bataille et étourdissez les trois unités ou bâtiments avec le plus de PV, tout en leur infligeant des dégâts. Les troupes aériennes tombent au sol.\nIls vont être verts de rage !","Ranken umschlingen die drei Einheiten oder Gebäude mit den meisten Trefferpunkten im Zielbereich, betäuben diese und fügen ihnen Schaden zu. Wenn eine getroffene Truppe sich in der Luft befindet, wird sie dadurch auf den Boden befördert.\n\nKeine Sorge – diese Pflänzchen werden dir ans Herz wachsen!","Enreda a las tres tropas o estructuras con mayor cantidad de puntos de vida en el área, las aturde y les inflige daño. Si la tropa está en el aire, caerá al suelo.\n\n¡Haz que tus rivales mantengan los pies en la tierra!","Dillo con un abbraccio!\n\nIntrappola le tre truppe o i tre edifici che hanno i punti ferita più alti nell'area d'effetto, stordendoli e danneggiandoli allo stesso tempo. Le truppe in aria vengono trascinate a terra.","Verstrengel, verdoof en beschadig de drie troepen of gebouwen in het gebied met de hoogste gezondheid. Als de troep in de lucht is, wordt deze naar de grond gehaald.\n\nZe hadden het onkruid maar beter moeten wieden.","Vikle deg inn i troppene eller bygningene med høyest treffpoeng i området, og svimeslå dem mens du gjør skade. Hvis troppen er i luften, styrter den. \n\nDe er dømt til å bli dyrket!","Alan içindeki en yüksek isabet puanına sahip üç birliği veya binayı sarar, bu birlikler ve binalar hareketsiz kalır ve hasar alır. Etkilediği birlik uçan bir birlikse yere iner.\n\nBu kart herkesi saracak!","範囲内の最もヒットポイントが高い敵ユニットまたは建物（最大3体まで）にツタが絡みつき、気絶させつつダメージを与えます。空中のユニットは地上に墜落します。\n\nチクチク嫌がらせしてやりましょう！","범위 내에서 HP가 가장 높은 유닛 3개나 건물 3개를 옭아매어 기절시키고 피해를 줍니다. 공중 유닛은 지상으로 끌어내립니다.\n\n덩굴의 매력에 서서히 감겨들어 보세요!","Поражает три здания или цели с самым высоким уровнем здоровья, оглушая и нанося урон. Если цель находится в воздухе, лоза опустит ее на землю.\n\nИ даже поливать не надо!","تقيّد هذه التعويذة ثلاث قوات أو مبان تتمتع بأعلى نقاط إصابة في المنطقة، فتصعقها بينما تلحق الضرر. إذا كانت تلك القوات في الهواء، فستوقعها أرضًا.\n\nلا تقلق، ستعتاد عليها قريبًا.","Brota lá na arena!\n\nEnvolve as três tropas ou construções com mais pontos de vida na área, atordoando-as e causando dano. Se a tropa estiver no ar, ela será puxada para o chão.","缠住范围内生命值最高的3个军队或建筑，使其眩晕并受到伤害。飞行军队被缠住后，会被当成地面军队攻击。\n\n当然它们也会慢慢缠上你，让你爱不释手！","纏住範圍內生命值最高的3個軍隊或建築，使其暈眩並受到傷害。飛行軍隊被纏住後，會被當成地面軍隊攻擊。\n\n當然它們也會慢慢纏上你，讓你愛不釋手！","سه نیرو یا ساختمونی رو که بیشترین تحمل ضربه رو در آن ناحیه دارند، در هم می‌پیچه و هم‌زمان که بهشون آسیب می‌زنه، اونا رو برای مدتی گیج می‌کنه. اگه نیرو هوایی باشه، اونا رو به زمین می‌کشونن. \n\nنگران نباشید، ریشه می‌دوونه و ازش خوشتون میاد!","Menjerat tiga Peleton atau bangunan dengan nyawa tertinggi di area, lalu memberi efek kejut dan kerusakan. Jika target adalah Peleton udara, mereka akan jatuh.\n\nIni dia tanaman liar yang takkan mau kamu pangkas!","Membelit tiga askar atau bangunan dengan nilai nyawa tertinggi di kawasan terkesan, memegun dan merosakkan mereka. Jika itu askar udara, dia akan ditarik ke tanah. \n\nJangan risau, anda akan disayangi.","มัดพันกองกำลังหรือสิ่งก่อสร้างที่มีพลังชีวิตสูงสุดในพื้นที่สามอย่าง และสตันศัตรูในระหว่างที่สร้างความเสียหาย หากกองกำลังอยู่ในอากาศ อาคมจะตรึงกองกำลังนั้นให้อยู่บนพื้น\n\nไม่ต้องกังวลไป อาคมนี้จะมัดใจท่านได้อย่างแน่นอน!","Köynnökset kietoutuvat alueellaan olevien kolmen korkeimman elinvoiman joukon tai rakennuksen ympärille. Ne tekevät tuhoa kohteisiinsa ja lamaannuttavat vihollisia. Jos kohteena on lentävä joukko, se putoaa maan pinnalle.\n\nNäistä huonekasveista nautit varmasti!","Trói 3 binh lính hoặc công trình có lượng máu cao nhất trong khu vực, gây ra sát thương trong khi khiến những binh lính và công trình này bị choáng. Nếu binh lính đang ở trên không trung, các dây leo này sẽ kéo chúng xuống mặt đất.\n\nChắc chắn bạn sẽ rất thích những dây leo này!"
"TID_SPELL_INFO_EVO_BABY_DRAGON","That's a big baby! While attacking, Evo Baby Dragon creates a gust of wind that speeds up friendly troops and slows down enemies in the area. It's a wind-win situation!","Quel gros bébé ! Lorsqu'il attaque, le bébé dragon évolué déclenche une bourrasque de vent qui fait accélérer les troupes alliées et ralentit les troupes ennemies. Allez, du vent !","Das ist mal ein großes Baby! Beim Angreifen erzeugt das entwickelte Drachenbaby eine Luftströmung, die in einem Bereich verbündete Truppen beschleunigt und Gegner verlangsamt. Eine Wind-Win-Situation!","¡Cuánto ha crecido! La evolución del bebé dragón crea una corriente de aire que acelera a las tropas aliadas y ralentiza a las enemigas en la zona. ¡Un soplo de aire fresco para tu mazo!","Guarda com'è cresciuto il nostro tesoruccio! Il cucciolo di drago evoluto genera una folata di vento che velocizza le truppe alleate e rallenta i nemici nell'area d'effetto. Speriamo solo che l'aria la crei solo con le ali...","Wat een grote baby! De babydraakevolutie creëert een windvlaag terwijl hij aanvalt waardoor in dat gebied vriendschappelijke troepen versnellen en vijanden vertragen. Een echte wind-winsituatie!","Det er en stor baby! Når evo-drageungen angriper, skapes det et vindpust som øker farten til allierte tropper og sinker fiender i området. Dette er vinn-vinn!","Ne büyük bir bebek! Evrimleşen Yavru Ejderha, alandaki dost birlikleri hızlandıran ve düşmanları yavaşlatan bir rüzgar oluşturur. Çifte etki!","赤ちゃんとは思えないほどの貫禄！攻撃時に突風を発生させ、範囲内の味方ユニットをスピードアップさせて敵ユニットをスローダウンさせます。追い風と向かい風を味方につけましょう！","꽤나 덩치가 큰 베이비네요! 공격 중에 베이비 드래곤이 돌풍을 생성하여 범위 내에 있는 아군의 속도는 높여주고 적의 움직임은 느려지게 합니다. 날갯짓이 이렇게 유용하게 쓰일지 몰랐네요!","Какой крупный малыш! Эволюционировавший дракончик создает потоки ветра, которые ускоряют дружественных воинов и замедляют противников в определенной области. Попутного ветра!","هذا رضيع كبير حقًا. في أثناء الهجوم، يُحدث تطور التنين الصغير عاصفة رياح تسرع القوات الصديقة وتبطئ الأعداء في المنطقة. الرياح تربح دائمًا.","Que bebezão! Ao atacar, a evolução do Bebê Dragão cria uma rajada de vento que acelera as tropas aliadas e desacelera os inimigos na área. Os ventos vão soprar a seu favor!","这可真是个大宝宝！觉醒飞龙宝宝攻击时会掀起一阵狂风，使目标范围内的友军加速，敌军减速。战场风云尽在其掌握之中！","這可真是個大寶寶！進化飛龍寶寶攻擊時會掀起一陣狂風，使目標範圍內的友軍加速，敵軍減速。戰場風雲盡在其掌握之中！","اون یه بچه‌ بزرگه! تکامل بچه اژدها موقع حمله کردن، باد شدید ناگهانی ایجاد می‌کنه که سرعت نیروهای خودی رو زیاد و سرعت نیروهای دشمن رو کند می‌کنه. یه موقعیت برنده ـ بادیه!","Ini bayi? Tapi kok besar?! Saat menyerang, Bayi Naga Evolusi menciptakan angin kencang untuk mempercepat Peleton rekan dan melambatkan lawan. Bisa dibilang, kehadirannya membawa angin segar!","Ini bayi besar! Ketika menyerang, Bayi Naga evolusi mencipta angin kencang yang mempercepat askar sekutu dan memperlahankan musuh di kawasan terkesan. Amaran angin kencang!","มังกรน้อยร่างยักษ์! ในขณะที่โจมตี วิวัฒนาการมังกรน้อยจะสร้างลมแรงที่เพิ่มความเร็วให้กับกองกำลังพันธมิตรและทำให้ศัตรูในพื้นที่ช้าลง ให้สายลมพัดพาสู่ชัยชนะ!","Onpa iso pikkukaveri! Kehittynyt pikku lohikäärme luo hyökätessään tuulenpuuskan, joka nopeuttaa alueelleen osuvia liittolaisia ja hidastaa vihollisia. Mistäköhän nyt tuulee?","Đứa trẻ đó thật là to lớn! Trong khi tấn công, Tiểu Long tiến hóa sẽ tạo ra một cơn gió giúp tăng tốc độ của các binh lính đồng minh và làm giảm tốc độ của kẻ địch trong khu vực. Sức mạnh của gió sẽ giúp bạn giành chiến thắng!"
"TID_BADGE_NAME_SEASONAL_202509","September Badge","Badge de septembre","Septemberabzeichen","Insignia de septiembre","Emblema di settembre","Badge van september","Septembermerke","Eylül Rozeti","9月のバッジ","9월 배지","Сентябрьский значок","شارة سبتمبر","Emblema de setembro","九月勋章","九月徽章","نشان سپتامبر","Lencana September","Lencana September","ตราสัญลักษณ์กันยายน","Syyskuun vaakuna","Huy hiệu tháng 9"
"TID_BADGE_INFO_SEASONAL_UNEARNED_202509","Earn by playing September Arenas or Ranked","À gagner en jouant dans les arènes de septembre ou en Classé","Spiele Arenen im September oder den Ranglistenmodus, um dies zu verdienen.","Se obtiene jugando en las arenas de septiembre o en el modo competitivo.","Si ottiene giocando nelle arene di settembre o nella modalità Classificata in quel mese.","Te verdienen door in arena's of de divisiemodus te spelen in september.","Tjen på å spille septemberarenaer eller Rangert","Eylül arenalarını veya aşamalı modu oynayarak kazanabilirsin.","9月のアリーナまたはランク戦をプレイして獲得できます","9월 아레나 또는 경쟁전을 플레이하여 획득하세요.","Зарабатывай на сентябрьских аренах или в ранговом режиме","اربح بلعب ساحات سبتمبر أو المصنف","Participe das arenas de setembro ou do modo ranqueado para ganhar.","通过参加9月竞技场或天梯对战获取","透過參加9月競技場或天梯對戰獲取","با بازی کردن تو میدان‌های نبرد یا حالت رتبه‌بندی‌شده ماه سپتامبر، به‌دستش بیار","Raih dengan bermain di Arena September atau mode Peringkat.","Dapatkan dengan bermain di Arena September atau mod Berperingkat","รับโดยเล่นในสนามประลองเดือนกันยายนหรือโหมดจัดอันดับ","Ansaitse pelaamalla syyskuun areenoita tai sijoitusotteluita.","Thu thập bằng cách chơi các Đấu trường tháng 9 hoặc chế độ Xếp hạng."
"TID_BADGE_NAME_SEASONAL_202509_1","September Trailblazer","Pionnier de septembre","September-Wegbereiter","Vanguardista de septiembre","Apripista di settembre","Pionier van september","Pioneren i september","Eylül Öncüsü","9月の先駆者","9월 선구자","Сентябрьский первопроходец","رائد سبتمبر","Desbravador de setembro","九月先驱者","九月先驅者","پیشگام سپتامبر","Pelopor September","Pelopor September","ผู้บุกเบิกเดือนกันยายน","Syyskuun pioneeri","Người tiên phong tháng 9"
"TID_BADGE_NAME_SEASONAL_202509_2","September Conqueror","Conquérant de septembre","September-Eroberer","Mandamás de septiembre","Conquistatutto di settembre","Veroveraar van september","Erobreren i september","Eylül Fatihi","9月の征服者","9월 정복자","Сентябрьский завоеватель","منتصر سبتمبر","Conquistador de setembro","九月征服者","九月征服者","فاتح سپتامبر","Penakluk September","Penakluk September","ผู้พิชิตเดือนกันยายน","Syyskuun valloittaja","Kẻ chinh phục tháng 9"
"TID_BADGE_INFO_SEASONAL_202509_1","You reached Seasonal Arena 4 in September!","Vous avez atteint l'Arène saisonnière 4 en septembre !","Du hast im September die Saisonale Arena 4 erreicht!","¡Alcanzaste la arena de temporada 4 en septiembre!","Hai raggiunto l'arena stagionale 4 a settembre!","Je hebt seizoensarena 4 bereikt in september!","Du nådde sesongarena 4 i september!","Eylülde Sezon Arenası 4'e ulaştın!","9月にシーズンアリーナ4に到達しました！","9월 시즌 아레나 4에 도달했습니다!","Ты достигаешь 4-й сезонной арены в сентябре!","بلغت الساحة الموسمية 4 في سبتمبر!","Você alcançou a arena sazonal 4 em setembro!","您在9月进入了4阶赛季竞技场！","你在9月進入了4階賽季競技場！","به میدان نبرد فصلی 4 در ماه سپتامبر رسیدی!","Kamu mencapai Arena Musiman 4 pada bulan September!","Anda mencapai Arena Bermusim 4 pada bulan September!","ท่านไปถึงสนามประลองประจำฤดูกาล 4 ในเดือนกันยายน!","Saavutit kausittaisen areenan 4 syyskuussa!","Bạn đã đạt đến Đấu trường theo mùa 4 trong tháng 9!"
"TID_BADGE_INFO_SEASONAL_202509_2","You reached Seasonal Arena 5 in September!","Vous avez atteint l'Arène saisonnière 5 en septembre !","Du hast im September die Saisonale Arena 5 erreicht!","¡Alcanzaste la arena de temporada 5 en septiembre!","Hai raggiunto l'arena stagionale 5 a settembre!","Je hebt seizoensarena 5 bereikt in september!","Du nådde sesongarena 5 i september!","Eylülde Sezon Arenası 5'e ulaştın!","9月にシーズンアリーナ5に到達しました！","9월 시즌 아레나 5에 도달했습니다!","Ты достигаешь 5-й сезонной арены в сентябре!","بلغت الساحة الموسمية 5 في سبتمبر!","Você alcançou a arena sazonal 5 em setembro!","您在9月进入了5阶赛季竞技场！","你在9月進入了5階賽季競技場！","به میدان نبرد فصلی 5 در ماه سپتامبر رسیدی!","Kamu mencapai Arena Musiman 5 pada bulan September!","Anda mencapai Arena Bermusim 5 pada bulan September!","ท่านไปถึงสนามประลองประจำฤดูกาล 5 ในเดือนกันยายน!","Saavutit kausittaisen areenan 5 syyskuussa!","Bạn đã đạt đến Đấu trường theo mùa 5 trong tháng 9!"
"TID_SPELL_ATTRIBUTE_SPEEDUP_TROOPS","Speedup Allies","Accélération des alliés","Verbündeten-Beschleunigung","Aceleración de aliados","Accelerazione alleati","Versnelling bondgenoten","Øk farten på allierte","Dost Hızlandırma","味方のスピードアップ","아군 속도 향상","Ускорение союзников","تسريع الحلفاء","Aceleração de aliados","加速友军","加速友軍","افزایش سرعت متحدان","Percepat Kawan","Mempercepat sekutu","เร่งความเร็วพันธมิตร","Liittolaisten nopeutus","Tăng tốc cho đồng minh"
"TID_SPELL_ATTRIBUTE_RECTANGLE_AEO","Wind Area","Zone de vent","Windbereich","Área de la corriente","Area del vento","Windgebied","Vindområde","Rüzgar Alanı","突風の範囲","바람 범위","Область с ветром","منطقة الرياح","Área da ventania","狂风范围","狂風範圍","ناحیه باد","Area Angin","Kawasan Angin","พื้นที่ลมแรง","Tuulen alue","Khu vực nổi gió"
"TID_INFO_SEASONAL_ARENA_202509_1","Mud Pit","Camp de boue","Schlammgrube","Foso fangoso","Fossa fangosa","Modderpoel","Gjørmegrop","Çamur Çukuru","決闘場","진흙 결투장","Яма","حفرة الوحل","Fosso de Lama","丛林泥坑","危險泥坑","گودال گلی","Kubangan Lumpur","Kolam Lumpur","บ่อโคลน","Mutakuoppa","Hố bùn"
"TID_INFO_SEASONAL_ARENA_202509_2","Spirit Square","Plaza des esprits","Geisterplatz","Plaza espiritual","Piazza degli spiriti","Geestenplein","Åndetorg","Ruh Meydanı","スピリットスクエア","스피릿 광장","Площадь духов","ساحة الأرواح","Praça Espiritual","精灵广场","精靈廣場","میدان روح","Alun-Alun Roh","Medan Roh","จตุรัสแห่งวิญญาณ","Henkiaukio","Quảng trường Tinh linh"
